card_id,area,number_rooms,furniture,condition,date
4docB,600,9,0,Авторский проект,2025-12-05
3qexg,38,1,1,Евроремонт,2025-12-02
4ee69,35,1,1,Евроремонт,2025-12-02
4duIA,58,2,1,Авторский проект,2025-12-05
4dZxM,80,3,1,Авторский проект,2025-12-05
4bx9Y,60,2,1,Евроремонт,2025-12-05
4eo8F,100,3,1,Авторский проект,2025-12-05
3AUt5,38,1,1,Авторский проект,2025-12-05
4dATh,83,3,1,Авторский проект,2025-12-05
462Bu,100,2,1,Евроремонт,2025-12-05
4dZvf,70,3,1,Авторский проект,2025-12-05
3t4uW,49,1,1,Евроремонт,2025-12-05
4ehnb,60,2,1,Евроремонт,2025-12-05
48L5N,43,2,1,Евроремонт,2025-11-09
4e5RJ,55,2,1,,2025-12-04
463Ft,120,3,1,Авторский проект,2025-12-02
4eo74,90,3,1,Авторский проект,2025-12-05
4eo6k,50,2,1,Средний,2025-12-05
4eo6a,90,3,1,Авторский проект,2025-12-05
4eo5d,96,3,1,Средний,2025-12-05
4eo4I,130,3,1,Авторский проект,2025-12-05
4dZsl,80,3,1,Евроремонт,2025-12-05
3FEHc,70,2,1,Евроремонт,2025-12-05
4eo0E,60,2,1,,2025-12-05
4dANf,55,2,1,Авторский проект,2025-12-05
4aZrH,2,4,1,,2025-12-05
4dUWn,83,4,0,Средний,2025-11-27
4dYlz,57,2,1,Евроремонт,2025-12-04
48cjj,72,3,1,Евроремонт,2025-12-02
4dZp8,72,3,1,,2025-12-05
4dcWc,30,1,1,Евроремонт,2025-12-05
4enYj,150,3,1,,2025-12-05
4enWo,108,3,1,Средний,2025-12-05
4enX3,40,1,1,,2025-12-05
4enYi,67,2,1,Авторский проект,2025-12-05
4cIb2,70,2,1,Евроремонт,2025-12-05
48ydv,55,2,1,,2025-12-05
4dZi7,65,2,1,Авторский проект,2025-12-05
4enTA,60,2,1,,2025-12-05
4detn,70,3,1,Евроремонт,2025-12-02
4cNKv,60,2,1,Евроремонт,2025-12-03
4e3b8,31,1,1,Евроремонт,2025-12-01
4enSQ,70,2,1,Средний,2025-12-05
4dZhZ,83,3,1,Евроремонт,2025-12-05
4aVIU,45,1,1,Авторский проект,2025-12-05
3KU2k,60,2,1,Евроремонт,2025-12-05
4enQb,60,2,1,,2025-12-05
3Ghzr,70,3,1,,2025-12-05
3qhIH,115,3,1,Авторский проект,2025-12-05
3pYTw,190,3,1,Евроремонт,2025-12-05
3lQ49,65,3,1,Евроремонт,2025-12-05
35bhK,90,3,1,Евроремонт,2025-12-05
4c0dK,100,4,0,Евроремонт,2025-12-04
4efK1,65,3,1,Авторский проект,2025-12-05
4eamn,80,3,1,,2025-12-01
3away,50,2,1,Евроремонт,2025-12-05
3w93H,70,3,1,Авторский проект,2025-12-05
4enOG,71,2,1,,2025-12-05
3tZ8K,60,2,1,Евроремонт,2025-12-05
4enNp,60,1,1,Средний,2025-12-05
3Kn5a,70,3,1,Евроремонт,2025-12-05
4dcJq,56,2,1,Евроремонт,2025-12-05
3tyRW,90,3,1,Евроремонт,2025-12-05
4enNS,83,3,1,Евроремонт,2025-12-05
4dAyK,55,2,1,Евроремонт,2025-12-05
46pNn,60,3,0,Средний,2025-12-02
4eg8C,106,2,1,Евроремонт,2025-12-03
4br0W,150,3,1,Авторский проект,2025-12-03
2BFzJ,98,3,1,Авторский проект,2025-12-05
4dAyC,90,3,1,Авторский проект,2025-12-05
4589M,60,2,1,Евроремонт,2025-12-05
2AVHW,58,2,1,Евроремонт,2025-12-05
1J2z1,130,3,1,,2025-12-05
4enLi,85,3,1,Авторский проект,2025-12-05
47ZiK,85,4,1,,2025-12-05
4dcEw,120,3,1,Евроремонт,2025-12-05
4bbwz,65,2,1,Евроремонт,2025-12-05
3fUVX,58,1,1,,2025-12-05
46YyN,78,3,1,Авторский проект,2025-12-05
4bTJF,80,2,1,Авторский проект,2025-12-03
4e4Kg,80,3,1,Евроремонт,2025-12-04
4efK1,65,3,1,Авторский проект,2025-12-05
4dAuM,95,3,1,Авторский проект,2025-12-05
35ZO9,56,2,1,Евроремонт,2025-12-05
4dZ5O,108,2,1,,2025-12-05
4enHN,90,2,1,Авторский проект,2025-12-05
4e7eE,58,2,1,Средний,2025-12-05
4e3Oc,38,1,1,,2025-12-05
4elB5,40,1,1,,2025-12-05
4enGq,80,3,1,Авторский проект,2025-12-05
44q7D,86,3,1,,2025-12-05
462Bu,100,2,1,Евроремонт,2025-12-05
4db4q,100,4,1,Авторский проект,2025-12-04
4d2Xf,76,3,1,Евроремонт,2025-12-02
3EhHg,60,2,1,Евроремонт,2025-12-05
4dAsM,90,3,1,Евроремонт,2025-12-05
