card_id,area,number_rooms,furniture,condition,date
4cYeC,60,2,1,Авторский проект,2025-12-04
47x9E,45,2,1,,2025-12-03
4efwK,28,1,1,Евроремонт,2025-12-03
4enXn,42,3,1,Авторский проект,2025-12-05
3ioCv,60,3,1,,2025-12-05
4dAGK,55,2,1,Евроремонт,2025-12-05
4enTT,60,2,1,,2025-12-05
3VWTg,80,3,1,Авторский проект,2025-12-05
4dZhk,65,2,1,Евроремонт,2025-12-05
4enTg,70,3,1,Евроремонт,2025-12-05
4enQ9,71,2,1,,2025-12-05
4d1SN,50,1,1,Евроремонт,2025-12-05
4dcK1,31,1,1,Евроремонт,2025-12-05
49ryf,70,3,1,,2025-11-09
4eigm,60,2,1,Средний,2025-12-03
4dHEc,70,2,1,,2025-11-30
3qjEg,65,3,1,Евроремонт,2025-12-05
4enLS,60,2,1,,2025-12-05
2M3FI,70,2,1,Евроремонт,2025-12-05
1FYGE,75,3,1,Авторский проект,2025-12-05
4dZal,62,2,1,Евроремонт,2025-12-05
4enMc,72,3,1,Евроремонт,2025-12-05
3G30W,62,3,1,Евроремонт,2025-12-05
4dcDm,103,3,1,Авторский проект,2025-12-05
38i4D,57,2,1,Евроремонт,2025-12-05
4enHC,54,2,1,Авторский проект,2025-12-05
4bOlc,92,3,1,Авторский проект,2025-12-04
426SN,42,3,1,Авторский проект,2025-12-05
3Il46,64,2,1,,2025-12-03
4enpG,50,2,1,Евроремонт,2025-12-05
4enHr,70,3,1,Средний,2025-12-05
3w4aD,55,2,1,Авторский проект,2025-12-05
4enEX,50,2,1,,2025-12-05
3Y469,65,3,1,Евроремонт,2025-12-05
4dAqJ,30,1,1,Евроремонт,2025-12-05
4433v,103,3,1,Евроремонт,2025-12-05
4enCy,52,2,1,,2025-12-05
4envs,41,2,1,,2025-12-05
4enwF,60,2,1,,2025-12-05
3ZmsS,55,2,1,Евроремонт,2025-12-05
42vvh,65,2,1,Евроремонт,2025-12-05
4d47B,31,2,0,,2025-12-03
4enuC,60,2,1,,2025-12-05
3SSKJ,67,2,1,Средний,2025-12-05
4dAnI,65,2,1,Евроремонт,2025-12-05
47E9z,60,2,0,Евроремонт,2025-12-05
4enyg,55,2,1,Евроремонт,2025-12-05
4dYWQ,36,1,1,Евроремонт,2025-12-05
4dAjL,65,2,1,Евроремонт,2025-12-05
4dWRD,65,3,1,Евроремонт,2025-12-05
4ekXx,51,2,1,Евроремонт,2025-12-04
47x9E,45,2,1,,2025-12-03
45Pc7,60,2,1,Евроремонт,2025-11-07
4absw,48,2,1,Евроремонт,2025-12-05
4aVHg,52,2,1,Евроремонт,2025-12-05
4enrE,55,2,1,Евроремонт,2025-12-05
4dgd8,60,1,1,,2025-12-05
4enqr,58,2,1,,2025-12-05
